# v_p0  v_p1  v_p2
25.013026 0.000000 1.234049
33.335244 0.000000 0.794565
38.109226 0.000000 0.469496
64.855674 0.000000 -3.577060
41.547114 0.000000 -0.513615
32.224806 0.000000 1.261825
22.906884 0.000000 1.759142
39.669580 0.000000 0.512121
43.460346 0.000000 -0.960063
58.218526 0.000000 -2.199953
92.413410 0.000000 -6.669086
88.569660 0.000000 -6.524419
90.061142 0.000000 -6.597241
90.942064 0.000000 -6.670998
104.321542 0.000000 -8.588145
117.361160 0.000000 -10.273405
125.586548 0.000000 -9.919066
119.832344 0.000000 -10.390769
113.395884 0.000000 -8.077353
115.890788 0.000000 -8.711091
121.542860 0.000000 -6.269666
119.374186 0.000000 -5.685969
121.712086 0.000000 -5.547002
122.838576 0.000000 -6.057277
121.638486 0.000000 -5.800309
118.122948 0.000000 -4.720774
116.181328 0.000000 -2.102786
117.304700 0.000000 -1.755068
121.330184 0.000000 -2.056978
115.758144 0.000000 -1.375007
114.936220 0.000000 -1.069314
110.882306 0.000000 0.633445
112.772326 0.000000 0.354290
114.438326 0.000000 0.300454
118.163652 0.000000 -0.104009
119.917244 0.000000 -0.717019
120.285158 0.000000 -1.415555
120.593610 0.000000 -1.782610
114.137370 0.000000 -1.366906
111.606358 0.000000 -1.247353
107.105636 0.000000 -0.684712
104.726000 0.000000 -0.439433
103.823940 0.000000 -0.157038
100.310270 0.000000 0.187983
99.316942 0.000000 -0.014616
99.168376 0.000000 -0.192635
99.169854 0.000000 -0.272240
98.080940 0.000000 -0.334683
97.020460 0.000000 -0.251708
98.546784 0.000000 -0.088751
102.056030 0.000000 -0.016136
103.193372 0.000000 0.314080
108.569154 0.000000 -0.071740
109.108678 0.000000 -0.118314
110.212506 0.000000 0.161586
106.599984 0.000000 0.183220
107.590936 0.000000 0.165676
106.621748 0.000000 0.464891
107.596812 0.000000 0.411029
109.742220 0.000000 0.322108
108.598680 0.000000 0.687788
107.226476 0.000000 0.877057
109.733086 0.000000 0.311925
108.163772 0.000000 0.454524
105.656140 0.000000 0.804973
105.458336 0.000000 0.513474
105.811474 0.000000 0.312108
102.645494 0.000000 0.489070
100.156876 0.000000 0.433391
95.406608 0.000000 0.712996
93.628654 0.000000 0.813529
90.482122 0.000000 1.199995
87.222926 0.000000 1.636277
85.877286 0.000000 1.807724
84.674398 0.000000 1.791195
83.379602 0.000000 2.104235
86.279822 0.000000 1.648872
89.766208 0.000000 1.288739
91.021684 0.000000 1.178327
91.680920 0.000000 0.997480
93.595134 0.000000 0.683950
98.682848 0.000000 0.389219
101.581984 0.000000 0.087348
100.419662 0.000000 0.487170
100.294182 0.000000 0.166323
99.266830 0.000000 -0.066239
98.250154 0.000000 -0.352941
101.567194 0.000000 -0.699821
100.718488 0.000000 -0.724885
100.419920 0.000000 -0.932292
105.290742 0.000000 -1.734585
105.568322 0.000000 -1.841317
104.505760 0.000000 -1.583045
107.393636 0.000000 -2.026242
108.362886 0.000000 -1.861792
111.395422 0.000000 -2.102548
110.523980 0.000000 -1.912455
109.588432 0.000000 -1.410575
111.527350 0.000000 -1.298258
113.179612 0.000000 -1.076219
115.254162 0.000000 -1.070162
118.514440 0.000000 -0.860619
122.600432 0.000000 -0.986611
137.491896 0.000000 -2.391052
147.341786 0.000000 -3.201362
152.904964 0.000000 -3.904312
160.950320 0.000000 -4.742685
157.232542 0.000000 -4.458490
154.220764 0.000000 -4.309210
154.433474 0.000000 -4.520683
148.542112 0.000000 -4.494830
139.386564 0.000000 -4.282869
132.003358 0.000000 -3.548697
130.749760 0.000000 -3.240413
131.444986 0.000000 -3.065982
129.777614 0.000000 -2.839968
131.818714 0.000000 -2.589520
128.845778 0.000000 -1.965618
123.499914 0.000000 -1.005513
121.973550 0.000000 -0.719536
116.366652 0.000000 -0.249383
109.592918 0.000000 -0.395583
107.594658 0.000000 -0.226539
107.603822 0.000000 -0.405847
103.291782 0.000000 0.112320
105.600574 0.000000 -0.430118
107.002990 0.000000 -0.662057
108.445346 0.000000 -1.067614
110.902128 0.000000 -1.335158
107.757978 0.000000 -0.953047
110.691208 0.000000 -1.211305
117.286150 0.000000 -2.031248
109.308350 0.000000 -0.720499
72.161484 0.000000 0.827019
115.008732 0.000000 -2.491036
90.435982 0.000000 -5.211947
120.735622 0.000000 -8.786385
134.166064 0.000000 -12.239532
134.452734 0.000000 -11.309963
119.832520 0.000000 -9.732921
96.664410 0.000000 -7.552354
132.665566 0.000000 -11.747859
55.686984 0.000000 -2.406804
90.938714 0.000000 -6.517043
50.645592 0.000000 -1.575942
87.579546 0.000000 -6.404106
50.083960 0.000000 -1.769262
37.483582 0.000000 -1.883371
82.134070 0.000000 -8.151473
55.175634 0.000000 -4.612654
39.591402 0.000000 -0.971173
