# r2_raw  r3_raw  r4_raw  r5_raw  r6_raw
0 0 10328461408 4872092132 0
17166537390 0 5766339056 2725741282 0
18413842334 0 -4850892702 -2510941750 0
922638570 0 -11279406586 -5955646458 0
-17043093264 0 -5083514930 -3064557868 0
-14929367074 0 6918121880 3010727516 0
6167538392 0 13040445856 5707654536 0
31672702452 0 12040305658 2959557816 0
51396404008 0 7413620820 -3904398348 0
58355635578 0 -1003278728 -13492154534 0
48064688510 0 -8585249730 -22709363698 0
30857211696 0 -7234251568 -27691950838 0
23749444518 0 275717386 -29190772452 0
29002225666 0 3963194530 -31645920428 0
33899513978 0 131907798 -36722001726 0
27468824990 0 -6310048914 -41725137024 0
12100663620 0 -8078495694 -43650166656 0
-60143576 0 -3511059042 -42070078688 0
-1559074462 0 1566547154 -38365078816 0
2817188652 0 2231240690 -33707000684 0
5300948900 0 316247362 -28813647574 0
4489942746 0 -900682236 -25411819902 0
2051194380 0 -1549810272 -24697996986 0
-1502458884 0 -1914960258 -25075547948 0
-4680530804 0 -999497164 -23411211080 0
-4897045030 0 828514846 -18350428016 0
-2404840462 0 1378074376 -12264948796 0
-1060126708 0 -212735634 -8577869014 0
-3247137422 0 -1713037660 -7280661782 0
-6248748104 0 -946657132 -5781434284 0
-6029736498 0 1222220788 -2808014186 0
-1896092626 0 2755391378 376440150 0
3633663506 0 2593351702 1865181404 0
7298546152 0 1013980290 1287756990 0
7300703934 0 -962564556 -641436124 0
3689794858 0 -2556642722 -3263117710 0
-2385958600 0 -3391383296 -5673884504 0
-8926325572 0 -2940667396 -6804254860 0
-13297424486 0 -1315321322 -6383657678 0
-14240979242 0 317562740 -5001364386 0
-12741799922 0 1083145788 -3328251174 0
-10586468336 0 1040900492 -1749005876 0
-8725672178 0 910047788 -478971806 0
-6760941936 0 1111358438 175319640 0
-4503569842 0 1085777450 14375082 0
-2809430164 0 598674024 -613484318 0
-1887633330 0 465199560 -1143434586 0
-356005350 0 1186751618 -1285551914 0
2855526058 0 1976541740 -1003989852 0
6822917928 0 1890341098 -412461832 0
9725982710 0 989575688 203773040 0
10384234880 0 -351929110 413752496 0
8191307810 0 -1795802240 157491116 0
3814627980 0 -2386980478 15709470 0
-291340706 0 -1530524108 300436304 0
-1866024340 0 -28810250 728100372 0
-914017002 0 887193650 1140979750 0
886359602 0 828023976 1508547298 0
1786815984 0 55040474 1761526338 0
1150902592 0 -556439620 2137110526 0
63545846 0 -434364326 2655674912 0
-685074082 0 -388669586 2742184964 0
-1878955972 0 -780194756 2399877982 0
-3465490934 0 -649716800 2347219590 0
-4324750084 0 -229165472 2504650250 0
-5062304528 0 -630630220 2277294340 0
-7189057902 0 -1431770830 1865935390 0
-10251526172 0 -1453072708 1794610586 0
-12441081338 0 -662204566 2137269516 0
