# r2  r3  r4  r5  r6
0.000000 0.000000 0.394844 0.587057 0.000000
0.559023 0.000000 0.087252 0.402896 0.000000
0.720305 0.000000 0.254938 0.277079 0.000000
2.240833 0.000000 1.292620 0.302688 0.000000
5.265235 0.000000 1.540890 -0.306267 0.000000
7.729027 0.000000 0.881725 -1.726403 0.000000
8.933209 0.000000 0.392816 -3.408177 0.000000
9.558452 0.000000 0.293030 -4.881899 0.000000
10.333022 0.000000 0.504322 -5.941200 0.000000
11.132209 0.000000 0.099770 -6.860998 0.000000
9.829585 0.000000 -1.484752 -7.886557 0.000000
5.832695 0.000000 -2.247595 -8.629400 0.000000
2.216808 0.000000 -1.210896 -8.949068 0.000000
1.163515 0.000000 0.064589 -8.984287 0.000000
1.852195 0.000000 0.507548 -8.402197 0.000000
2.562466 0.000000 0.123386 -7.159712 0.000000
1.896846 0.000000 -0.825019 -6.113208 0.000000
-0.509731 0.000000 -1.482755 -5.562158 0.000000
-3.289465 0.000000 -1.170989 -4.422834 0.000000
-4.739742 0.000000 -0.272054 -2.199794 0.000000
-4.557376 0.000000 0.374214 -0.093361 0.000000
-3.544365 0.000000 0.615748 0.906789 0.000000
-2.092479 0.000000 0.877647 1.041555 0.000000
-0.001502 0.000000 1.203815 0.778933 0.000000
2.358417 0.000000 1.058593 0.245012 0.000000
3.735932 0.000000 0.257320 -0.424160 0.000000
3.397177 0.000000 -0.529183 -1.031928 0.000000
2.085664 0.000000 -0.698305 -1.573588 0.000000
0.858654 0.000000 -0.538631 -1.963569 0.000000
-0.203984 0.000000 -0.571951 -1.971239 0.000000
-1.509261 0.000000 -0.720054 -1.776963 0.000000
-2.885473 0.000000 -0.607331 -1.747378 0.000000
-3.752723 0.000000 -0.248942 -1.818629 0.000000
-3.893131 0.000000 0.089757 -1.694317 0.000000
-3.498784 0.000000 0.285585 -1.326972 0.000000
-2.829767 0.000000 0.380699 -0.889885 0.000000
-1.967822 0.000000 0.491092 -0.460435 0.000000
-0.842496 0.000000 0.632412 0.044675 0.000000
0.476796 0.000000 0.671420 0.571087 0.000000
1.685007 0.000000 0.509668 0.780081 0.000000
2.315676 0.000000 0.081162 0.422282 0.000000
1.933631 0.000000 -0.451642 -0.287056 0.000000
0.843997 0.000000 -0.548385 -0.908920 0.000000
0.182598 0.000000 -0.068321 -1.262749 0.000000
0.541085 0.000000 0.370050 -1.454539 0.000000
1.343201 0.000000 0.382812 -1.552587 0.000000
1.948044 0.000000 0.231326 -1.536894 0.000000
2.389079 0.000000 0.240425 -1.493671 0.000000
3.083050 0.000000 0.480427 -1.546695 0.000000
4.352999 0.000000 0.787186 -1.672199 0.000000
