# v_p0  v_p1  v_p2
1974504 0 105022
2489066 0 14106
3055460 0 -68276
1854676 0 103402
2460480 0 -16668
3474464 0 -130536
3574044 0 -215778
4296640 0 -322368
5579770 0 -446840
4606398 0 -343920
7437636 0 -583774
7478856 0 -574934
7345598 0 -539134
7153734 0 -611036
7484086 0 -586500
7313962 0 -467782
7977688 0 -320276
8132570 0 -374036
7938434 0 -412052
7349094 0 -78320
6934646 0 23688
6801196 0 60694
6524646 0 53682
6361210 0 54096
6326138 0 29520
6807726 0 -45084
7334518 0 -75408
7352398 0 -63938
7422240 0 -175948
7378472 0 -123964
7558790 0 -97706
7270902 0 -107904
6980230 0 -130328
6697626 0 -119136
6397596 0 -80860
6204644 0 -53326
6065178 0 -31824
5868384 0 -10786
5893662 0 39210
5983180 0 72904
6124230 0 32808
6435446 0 -26340
6707202 0 -74672
6386008 0 -74690
6348938 0 -92964
6528098 0 -106048
6607278 0 -106864
6826808 0 -86248
6882186 0 -100662
7119056 0 -124768
7363232 0 -117746
7805278 0 -135728
8799998 0 -243826
8964970 0 -298034
8808604 0 -310936
8621444 0 -297786
8102608 0 -251420
8115032 0 -254650
8182308 0 -247720
8182536 0 -221246
7664062 0 -137576
7024302 0 -63636
6859896 0 -64550
6819576 0 -119764
6779082 0 -100922
7253232 0 -206298
7002904 0 157538
6581076 0 -225842
5334352 0 -271004
5994248 0 -258774
5674054 0 -396594
3129582 0 -89158
2838256 0 204648
2238014 0 147250
4727020 0 16122
2236750 0 75496
4443066 0 -195426
2594872 0 -45180
4971594 0 -454408
6458582 0 -489438
2215831 159197 37921
2544097 12907 -6045
2919216 -110395 -34565
2047107 172155 59036
2440220 -31447 -14805
3140639 -185309 -30504
3104710 -335005 -90268
3627249 -513557 -150984
4685654 -724028 -225728
3904176 -550154 -166216
6397426 -995762 -358225
6478244 -989196 -364448
6390194 -921859 -333462
6041432 -1033635 -363449
6426091 -993195 -352653
6505103 -807742 -299365
7698490 -653325 -339466
7688466 -720243 -338656
7399841 -774755 -348803
7420167 -208342 -150968
7009845 26188 -2279
7052996 50237 -33395
6736849 48278 -24340
6548246 57714 -11636
6459347 19421 -21799
6896599 -139566 -110937
7336143 -180083 -113381
7345474 -150681 -92323
7351054 -387433 -226491
7339153 -278369 -165183
7573610 -237125 -152807
